"Periodo","edad_mayor","Total","Hombres","Mujeres","porc_total","porc_hombres","porc_mujeres"
1946,"mas80",261081.2,89311.4,171769.8,0.968465083420538,0.331295292236305,0.637169791184234
1947,"entre65y79",1622423.6,686020.73,936402.87,5.96930927883808,2.52404483580261,3.44526444303547
1947,"mas80",264365.25,90058.8,174306.45,0.97266702717302,0.331349242257708,0.641317784915312
1948,"entre65y79",1653221.47,696401.89,956819.58,6.02716278661204,2.53887796166492,3.48828482494711
1948,"mas80",267103.58,90858.85,176244.73,0.973781666135059,0.3312448389352,0.642536827199859
1949,"entre65y79",1676161.95,704755.46,971406.49,6.03948478292459,2.53934882387291,3.50013595905168
1949,"mas80",275303.01,93532.75,181770.26,0.991961629715038,0.337013747585721,0.654947882129317
1950,"entre65y79",1723319.81,721845.43,1001474.38,6.15129406542474,2.57658705247111,3.57470701295364
1950,"mas80",283113.79,96282.13,186831.66,1.01055890274186,0.343673699703744,0.666885203038114
1951,"entre65y79",1756549,736422,1020127,6.24574948202465,2.61849075946732,3.62725872255733
1951,"mas80",293372.59,100205.92,193166.67,1.04314294792387,0.356301516744368,0.686841431179504
1952,"entre65y79",1791881.96,748178.55,1043703.41,6.333870803094,2.6446308290007,3.6892399740933
1952,"mas80",295510.33,100535.33,194975,1.04455778504499,0.355368157937379,0.68918962710761
1953,"entre65y79",1827161.85,764714.86,1062446.99,6.40674372131827,2.68138924195674,3.72535447936152
1953,"mas80",305937.69,103862.47,202075.22,1.07273713848727,0.364182421799747,0.708554716687527
1954,"entre65y79",1880398.01,789560.99,1090837.02,6.54096755927701,2.74648919760378,3.79447836167323
1954,"mas80",313822.54,106242.47,207580.07,1.09163221966498,0.36956460599927,0.72206761366571
1955,"entre65y79",1901554.9,803379.24,1098175.66,6.56228140128281,2.77246828099926,3.78981312028355
1955,"mas80",325066.09,109602.92,215463.17,1.12180571625606,0.378240566939344,0.743565149316718
1956,"entre65y79",1963063.58,827408.65,1135654.93,6.71959716923309,2.83223267905514,3.88736449017795
1956,"mas80",335160.98,112815.06,222345.92,1.14726124787328,0.386167705186024,0.761093542687256
1957,"entre65y79",1968439.63,831210.32,1137229.31,6.68494432117067,2.82284232835856,3.86210199281211
1957,"mas80",339591.62,113620.37,225971.25,1.15327441951377,0.385861895698986,0.767412523814783
1958,"entre65y79",2001274.85,843786.66,1157488.19,6.73618328905694,2.84014042280158,3.89604286625536
1958,"mas80",346112.27,115612.81,230499.46,1.16499524756011,0.38914648766156,0.775848759898546
1959,"entre65y79",2039018,861755.42,1177262.58,6.79543697653891,2.87197300161196,3.92346397492695
1959,"mas80",358758.67,120292.58,238466.09,1.19563531649643,0.400899180946546,0.794736135549885
1960,"entre65y79",2084964.91,880122.1,1204842.81,6.88212857841671,2.90513927973307,3.97698929868364
1960,"mas80",371844.83,125381.93,246462.9,1.2273990411088,0.413865269161793,0.81353377194701
1961,"entre65y79",2139852,902068,1237784,7.00766973204388,2.95412702366583,4.05354270837806
1961,"mas80",385850.88,130724.89,255125.99,1.26359932035416,0.428102903788564,0.835496416565599
1962,"entre65y79",2216765.29,933963.6,1282801.69,7.17680139753807,3.02371717022404,4.15308422731402
1962,"mas80",400409.53,136378.75,264030.78,1.29633014710888,0.441527665562868,0.854802481546012
1963,"entre65y79",2258869.1,950655.69,1308213.41,7.2359176697884,3.0452700004422,4.19064766934619
1963,"mas80",408389.26,139317,269072.26,1.30820819258,0.446279220872918,0.86192897170708
1964,"entre65y79",2302117.75,968527.57,1333590.18,7.29445647037164,3.0688622246711,4.22559424570055
1964,"mas80",416608.98,142430,274178.98,1.32006109147802,0.451301604826701,0.868759486651323
1965,"entre65y79",2333598.51,984930.6,1348667.91,7.3071765049045,3.08410453145237,4.22307197345213
1965,"mas80",429919.51,146705.22,283214.29,1.34620318319969,0.459376766027694,0.886826417171996
1966,"entre65y79",2436655.79,1023213.01,1413442.78,7.54647525532083,3.16895463552008,4.37752061980075
1966,"mas80",445206.91,151942.21,293264.7,1.37883362254167,0.470574519679598,0.908259102862077
1967,"entre65y79",2495236.85,1052603.8,1442633.05,7.64558873124323,3.22525525051612,4.42033348072711
1967,"mas80",460364.97,157008.3,303356.67,1.4105920353377,0.481084947583896,0.929507087753802
1968,"entre65y79",2573496.84,1086552.51,1486944.33,7.80021221689263,3.29331671640885,4.50689550048378
1968,"mas80",475804.69,162395.65,313409.04,1.44215353137671,0.49221763687894,0.949935894497772
1969,"entre65y79",2637166.8,1116694.37,1520472.43,7.91393800607518,3.35111530143379,4.56282270464139
1969,"mas80",495184.04,168989.32,326194.72,1.48600983227828,0.507124161493615,0.978885670784667
