"Periodo","edades","Total","Hombres","Mujeres","porc_total","porc_hombres","porc_mujeres"
1914,"85",13790.04,5229.59,8560.45,0.0669480854368773,0.0253886890915356,0.0415593963453417
1914,"86",10717.97,3979.18,6738.79,0.0520337556141887,0.0193181805570334,0.0327155750571553
1914,"87",8714.48,3160.24,5554.24,0.0423071834148384,0.0153423788126095,0.0269648046022289
1914,"88",6997.81,2461.16,4536.65,0.0339730690955961,0.0119484751279782,0.0220245939676179
1914,"89",5627.3,1900.61,3726.69,0.0273194973458336,0.00922710888889251,0.0180923884569411
1914,"90",4198.02,1348.66,2849.36,0.020380608150935,0.00654749405406358,0.0138331140968714
1914,"91",3043.44,954.86,2088.58,0.014775336485029,0.004635668124259,0.01013966836077
1914,"92",2492.5,766.65,1725.85,0.012100625012793,0.00372194349691386,0.00837868151587919
1914,"93",2033.37,630.01,1403.36,0.00987163405507041,0.00305858165067593,0.00681305240439448
1914,"94",1586.88,482.62,1104.26,0.00770400795197634,0.00234303054911702,0.00536097740285932
1914,"95",1117.72,330.12,787.6,0.00542632320533562,0.00160267134572648,0.00382365185960915
1914,"96",734.25,213.73,520.52,0.00356464750878367,0.00103761949206991,0.00252702801671376
1914,"97",542.87,135.83,407.04,0.00263553311963689,0.000659429446534676,0.00197610367310222
1914,"98",398.67,95.49,303.18,0.00193546887616859,0.000463586231683694,0.00147188264448489
1914,"99",208.59,52.89,155.7,0.00101266574580481,0.000256771136179187,0.000755894609625628
1914,"100ymas",313.58,73.5,240.08,0.0015223727147489,0.000356828861962002,0.0011655438527869
1915,"0",550204.23,285203.76,265000.47,2.6492405368062,1.37325982070611,1.27598071610008
1915,"1",507235.22,260935.16,246300.06,2.44234419375476,1.25640619547765,1.18593799827711
1915,"2",506648.66,260467.8,246180.86,2.43951989971168,1.25415585098778,1.18536404872389
1915,"3",475586.12,243505.28,232080.84,2.28995336485577,1.17248109616013,1.11747226869563
1915,"4",408600.48,204810.95,203789.53,1.96741663540913,0.986167393009296,0.981249242399831
1915,"5",417639.57,210564.39,207075.18,2.01093997154167,1.01387028157866,0.997069689963015
1915,"6",479373.32,241560.71,237812.61,2.30818878220432,1.1631179662717,1.14507081593263
1915,"7",459019.94,231264.26,227755.68,2.21018699229257,1.1135404253553,1.09664656693726
1915,"8",463116.19,232183,230933.19,2.22991048941816,1.11796417042681,1.11194631899134
1915,"9",452282.74,226757.28,225525.46,2.17774728650446,1.09183925792776,1.08590802857671
1915,"10",454959.05,225368.12,229590.93,2.19063375402773,1.08515043442651,1.10548331960122
1915,"11",452263.97,225342.18,226921.79,2.17765690870988,1.0850255329885,1.09263137572138
1915,"12",464692.61,229637.28,235055.33,2.23750097225947,1.10570649545518,1.13179447680429
1915,"13",402596.95,198993.27,203603.68,1.938509560231,0.958155188002862,0.98035437222814
1915,"14",456302.04,220130.94,236171.1,2.19710026837737,1.0599333444842,1.13716692389317
1915,"15",365516.89,182740.92,182775.97,1.75996858816467,0.87989991097898,0.880068677185694
1915,"16",417536.23,207307.52,210228.71,2.01044238809512,0.998188410090488,1.01225397800463
1915,"17",377438.64,187373.76,190064.88,1.8173719697593,0.902207095946528,0.915164873812775
1915,"18",389117.77,190226.9,198890.87,1.87360713289251,0.915945002223953,0.957662130668554
1915,"19",365986.24,177438.37,188547.87,1.76222851453047,0.854368063634873,0.907860450895597
1915,"20",350242.91,166969.62,183273.29,1.6864241754393,0.803960895973349,0.88246327946595
1915,"21",335945.74,164169.27,171776.47,1.6175831155921,0.790477174233795,0.827105941358309
1915,"22",369107.51,174156.1,194951.41,1.77725747025173,0.838563890815731,0.938693579435994
1915,"23",290293.31,138105.25,152188.06,1.39776607027475,0.664978578310374,0.732787491964381
1915,"24",383379.08,171338.36,212040.72,1.84597526576534,0.82499643599958,1.02097882976576
1915,"25",266741.07,130428.81,136312.26,1.28436172778072,0.628016419683639,0.656345308097078
1915,"26",329649.3,160137.25,169512.05,1.58726567494726,0.771062945395145,0.816202729552113
1915,"27",300071.86,149602.83,150469.03,1.44484991594273,0.720339575827918,0.724510340114811
1915,"28",301977.85,141167.82,160810.03,1.45402728262845,0.679724892766747,0.774302389861707
1915,"29",307619.48,145629.41,161990.07,1.48119180459089,0.701207506752846,0.779984297838047
1915,"30",291459.14,138173.41,153285.73,1.40337955691593,0.665306769598523,0.738072787317411
1915,"31",254413.91,124248.89,130165.02,1.22500629175345,0.59826002435709,0.626746267396362
1915,"32",296999.99,140337.03,156662.96,1.43005882186517,0.675724628091258,0.754334193773915
1915,"33",228478.17,111378.66,117099.51,1.10012536570156,0.53628969920343,0.563835666498134
1915,"34",412957.68,190330.9,222626.78,1.98839661018499,0.91644576357911,1.07195084660588
1915,"35",193423.96,95637.21,97786.75,0.931338887782779,0.460494412336755,0.470844475446023
1915,"36",265988.08,128100,137888.08,1.28073607111899,0.616803169188419,0.663932901930572
1915,"37",229003.35,112430.92,116572.43,1.10265411424485,0.541356344814751,0.561297769430094
1915,"38",249544.61,117546.99,131997.62,1.20156054880475,0.565990288528957,0.635570260275789
1915,"39",262185.62,126218.19,135967.43,1.26242717667159,0.607742229517767,0.654684947153821
1915,"40",248966.59,116658.68,132307.91,1.19877737497294,0.561713064303963,0.637064310668978
1915,"41",202410.69,98025,104385.69,0.974610109833057,0.471991652300506,0.502618457532551
1915,"42",248549.13,118361.27,130187.86,1.19676729963329,0.569911057339314,0.626856242293975
1915,"43",182493.92,90204.37,92289.55,0.878710602760482,0.434335216944924,0.444375385815558
