"Edad","Ambos sexos","Hombres","Mujeres","porc_total_grupo","porc_total_hombres","porc_total_mujeres","Españoles.Extranjeros"
"76 años",370127,164768,205359,0.882411161732212,0.392819551927563,0.489591609804649,"Españoles"
"77 años",358941,158092,200849,0.855742879615164,0.376903455788334,0.47883942382683,"Españoles"
"78 años",301361,131699,169662,0.718467742452675,0.313980519089314,0.404487223363361,"Españoles"
"79 años",271455,117032,154423,0.64716954425918,0.279013265932624,0.368156278326556,"Españoles"
"80 años",325781,137740,188041,0.776686895795988,0.32838272651548,0.448304169280509,"Españoles"
"81 años",205522,83773,121749,0.489980214308947,0.199721258518813,0.290258955790134,"Españoles"
"82 años",226562,91412,135150,0.54014118836068,0.217933220533128,0.322207967827552,"Españoles"
"83 años",244603,97029,147574,0.58315231634867,0.231324579432775,0.351827736915895,"Españoles"
"84 años",253865,97577,156288,0.605233634868972,0.232631053471765,0.372602581397207,"Españoles"
"85 años",232059,88174,143885,0.553246458054709,0.210213580134862,0.343032877919847,"Españoles"
"86 años",214240,79229,135011,0.510764595097113,0.188888013932735,0.321876581164378,"Españoles"
"87 años",199949,72067,127882,0.476693754784693,0.171813256510753,0.30488049827394,"Españoles"
"88 años",179367,62904,116463,0.427624687867736,0.149967961585086,0.277656726282651,"Españoles"
"89 años",150286,51432,98854,0.358293352962867,0.122617833527981,0.235675519434886,"Españoles"
"90 años",130919,42325,88594,0.312120939252796,0.10090604689827,0.211214892354526,"Españoles"
"91 años",105609,33068,72541,0.25177995763448,0.0788366487615353,0.172943308872945,"Españoles"
"92 años",86656,26032,60624,0.206594551683791,0.062062285005452,0.144532266678339,"Españoles"
"93 años",65856,18831,47025,0.157005756043295,0.0448945485916436,0.112111207451651,"Españoles"
"94 años",52342,14243,38099,0.124787343337253,0.0339564046301726,0.0908309387070804,"Españoles"
"95 años",38596,9934,28662,0.0920158248336826,0.023683418071764,0.0683324067619186,"Españoles"
"96 años",28795,7160,21635,0.0686494889648122,0.0170699892685555,0.0515794996962567,"Españoles"
